,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
182,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
183,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
184,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
185,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
186,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
187,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
188,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
189,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
190,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
191,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
192,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
193,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
194,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
195,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
196,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
197,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
198,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
199,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
200,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
201,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
202,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
203,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
204,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
205,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
206,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
207,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
208,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
209,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
210,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
211,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
212,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
213,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
214,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
215,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
216,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
217,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
218,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
219,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
220,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
221,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
222,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
223,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
224,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
225,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
226,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
227,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
228,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
229,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
230,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
231,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
232,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
233,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
234,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
235,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
236,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
237,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
238,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
239,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
240,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
241,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
242,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
243,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
244,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
245,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
246,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
247,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
248,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
249,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
250,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
251,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
252,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
253,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
254,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
255,0,1,0,1,0.845,0,9.563,1.072,0,3.257,5,3.257,7,0,0.165,2.25
256,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
257,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
258,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
259,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
260,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
261,0,1,0,1,0.845,0,9.563,1.072,0,3.257,5,3.257,7,0,0.165,2.25
262,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
263,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
264,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
265,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
266,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
267,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
268,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
269,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
270,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
271,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
272,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
273,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
274,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
275,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
276,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
277,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
278,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
279,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
280,0,10,3,23,2.717,2,7,77.35,16,0.793,31,0.793,50,0,1.002,3.677
281,0,10,3,23,2.717,2,7,77.35,16,0.793,31,0.793,50,0,1.002,3.677
282,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
283,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
284,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
285,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
286,0,4,0,5,0,0,0,0.183,0,0,10,0,30,0,0,0
287,0,4,0,5,0,0,0,0.183,0,0,10,0,30,0,0,0
288,0,6,1,10,0,0,0,3.164,3,0,18,0,34,0,0.788,3.643
289,0,6,1,10,0,0,0,3.164,3,0,18,0,34,0,0.788,3.643
290,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
