,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky
0,0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16
1,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
2,0,0,0,0,0,0,0,243090896,0,0,0,0,0,0,0,19,0,35,9,263.7,0,0,0,53,24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
4,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
5,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
6,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
7,0,0,43.3,3.583,0,2.257,4.928,18049700,0,0,0,0,0,0,1.742,5,0,11,0,212.2,4.928,2.022,0.39,10,0,2.738,0,0.017,0.653,2.387,0.022,0.075,1.17,0,0,0,0,10.64
8,0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04
9,0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28
10,0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28
11,0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28
12,0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16
13,0,0.005,11.29,5.07,0,0,0.298,84790141,0,0,0,0.661,0,0.09,0,0,0,33,8,0,0.298,17.96,0,43,20,0.093,0,0,0,2.768,0,0.201,0,0.44,0,0,0,49.75
14,0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81
15,0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28
