,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
70,0.512,2,0,2,1.737,0,22.31,56.61,2,10.65,12,10.65,14,0,2.186,1.166
71,0,2,0,0,3.502,1,12.93,42.52,0,0.193,3,0.193,3,0,3.901,13.27
72,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
73,0,2,0,0,0,3,0,0,1,0,14,0,14,0,0,0
74,0,2,0,3,0,0,2.348,19.12,0,0,17,0,22,0,0.297,1.879
75,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
76,3.092,1,0,4,2.378,0,4.756,61.5,2,3.422,10,3.422,6,0,1.63,3.884
77,0,0,0,1,0,0,0,0,0,0,10,0,11,0,0,0
78,9.427,0,0,2,3.492,0,39.09,13.83,2,9.754,10,9.754,14,0,0.827,2.077
79,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
80,0.413,0,0,0,1.819,0,34.32,23.54,8,3.702,9,3.702,2,0,2.369,7.302
81,0,2,0,4,0,0,0,0,7,0,16,0,7,0,0,0
82,0,2,0,0,2.259,0,2.972,58.17,5,3.084,13,3.084,6,0,3.741,4.889
83,0,2,0,0,2.259,0,2.972,58.17,5,3.084,13,3.084,6,0,3.741,4.889
84,0,2,0,49,0.716,0,4.871,62.21,9,1.012,34,1.012,14,0,2.069,1.612
85,0,0,0,0,0,0,0,0,1,0,6,0,8,0,0,0
86,0,0,0,1,1.434,0,16.29,52.42,4,1.097,8,1.097,4,0,6.476,5.666
87,0,0,0,1,0,0,0,0,2,0,7,0,8,0,0,0
88,0,1,0,12,2.78,0,41.35,24.65,10,5.238,10,5.238,14,0,2.128,5.739
89,0,1,0,0,0,0,0,0,6,0,8,0,6,0,0,0
90,0.467,2,0,9,2.153,1,48.73,29.06,11,11.96,23,11.96,21,0,1.112,1.764
91,0,2,0,39,2.222,1,13.19,62.94,5,7.415,26,7.415,11,0,0.764,1.025
92,1.691,0,0,0,1.432,0,26,32.58,2,7.335,6,7.335,13,0,1.295,1.734
93,0.577,1,0,0,1.641,0,17.28,50.28,5,3.983,12,3.983,16,0,3.468,2.784
94,0.111,0,0,3,3.069,0,36.08,6.048,0,1.17,5,1.17,3,0,0.412,2.571
95,0,3,0,26,0,0,0,0,5,0,50,0,19,0,0,0
96,0,0,0,0,0,0,0,0,1,0,2,0,13,0,0,0
97,0.512,2,0,2,1.737,0,22.31,56.61,2,10.65,12,10.65,14,0,2.186,1.166
98,0,0,0,0,3.911,0,0.954,69.26,2,0.003,4,0.003,12,0,2.853,13.62
99,0,0,0,0,0,0,0,0,7,0,3,0,7,0,0,0
100,0.577,1,0,0,1.641,0,17.28,50.28,5,3.983,12,3.983,16,0,3.468,2.784
101,0,0,0,1,1.671,1,46.17,5.159,1,0.971,2,0.971,3,0,6.121,5.299
102,0,0,0,1,0,0,0,0.183,0,0,8,0,9,0,0,0
103,0,2,0,0,3.124,0,13.01,63.19,1,2.639,6,2.639,4,0,1.832,1.854
104,0.005,2,0,0,1.496,0,16.4,52.46,0,2.041,6,2.041,6,0,2.957,2.488
105,0,0,0,1,0,0,0,0,0,0,4,0,29,0,0,0
106,0.245,0,0,1,7.338,1,22.37,16.47,5,2.562,10,2.562,14,0,1.438,8.564
107,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
108,3.455,3,0,0,1.318,1,9.53,65.46,5,4.066,14,4.066,9,0,2.798,2.527
109,0.467,2,0,9,2.153,1,48.73,29.06,11,11.96,23,11.96,21,0,1.112,1.764
110,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0
111,0,2,0,93,0.195,0,16.8,4.768,0,2.005,54,2.005,22,0.167,0,6.235
112,1.36,1,0,0,2.165,0,32.53,26.76,21,8.659,12,8.659,14,0,2.334,2.244
113,0,7,0,12,2.647,0,41,27.24,1,3.745,20,3.745,26,0,3.602,7.694
114,0,1,0,0,0.236,0,4.136,79.25,3,1.953,9,1.953,10,0,4.657,2.56
115,0,0,0,0,1.371,0,6.118,60.42,6,0.006,8,0.006,6,0,5.818,7.334
116,0,0,0,0,1.175,0,42.43,16.6,0,0.427,10,0.427,8,0,1.308,3.983
117,0.348,2,0,3,1.061,0,22.98,44.48,4,3.931,22,3.931,26,0,4.909,4.689
118,10.72,0,0,0,2.891,0,39.7,9.485,1,5.752,6,5.752,20,0,2.155,3.354
119,0.577,1,0,0,1.641,0,17.28,50.28,5,3.983,12,3.983,16,0,3.468,2.784
120,0.266,2,0,55,1.151,0,11.42,51.98,8,3.523,14,3.523,20,0,6.07,4.213
121,0,0,0,1,0,0,0,0,2,0,7,0,8,0,0,0
122,0,2,0,0,0,0,0,0.183,4,0,7,0,7,0,0,0
123,0.244,3,0,1,1.811,2,23.78,42.79,6,8.281,13,8.281,13,0,3.466,2.899
124,0,2,0,0,2.259,0,2.972,58.17,5,3.084,13,3.084,6,0,3.741,4.889
125,15.22,0,0,0,3.362,0,39.78,14.55,2,6.104,4,6.104,10,0,1.816,2.827
126,0.398,2,0,0,0.257,0,4.498,67.45,9,0,12,0,7,0,4.108,4.539
127,0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0
128,0,2,8,60,0,8,0,0,2,0,14,0,19,0,0,0
129,0,4,0,6,0,0,0,0,6,0,25,0,29,0,0,0
130,0.258,0,0,0,1.439,0,30.03,41.82,7,6.958,13,6.958,14,0,0.838,3.843
131,0,0,0,0,2.908,0,11.97,21.28,1,0.165,1,0.165,3,0,6.944,15.95
132,0,2,1,1,1.452,0,11.61,74.05,3,5.957,9,5.957,11,0,0.015,0.919
133,0,0,0,0,0,0,0,0.183,0,0,5,0,8,0,0,0
134,2.711,0,0,0,3.3,0,23.42,39.38,1,3.75,4,3.75,9,0,0.967,2.956
135,0,0,0,0,0,0,0,0,4,0,8,0,15,0,0,0
136,0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0
137,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
138,2.477,2,0,0,4.663,0,13.11,47.62,4,8.003,9,8.003,15,0,1.836,2.947
139,0,1,0,2,2.558,0,24.28,52,2,8.637,10,8.637,11,0,4.425,2.388
140,0,0,0,1,0.062,0,7.151,0.724,0,0.143,6,0.143,3,0,1.298,2.055
141,0,0,0,0,1.371,0,6.118,60.42,6,0.006,8,0.006,6,0,5.818,7.334
142,0,2,0,0,0,0,0,0.183,4,0,7,0,7,0,0,0
143,0,3,2,10,3.881,0,5.218,42.11,2,2.4,22,2.4,26,0,6.196,9.954
144,0,0,0,1,0,0,0,0.183,0,0,5,0,6,0,0,0
145,0.379,2,0,0,1.193,0,7.267,71.78,4,0.589,11,0.589,8,0,3.652,3.406
146,0,0,0,0,0,0,0,0,10,0,10,0,6,0,0,0
147,0,0,0,0,0.07,2,9.142,56.57,5,0.903,10,0.903,8,0,8.597,3.388
148,0,3,2,10,3.881,0,5.218,42.11,2,2.4,22,2.4,26,0,6.196,9.954
149,0,8,0,16,0,0,0,0,15,0,23,0,42,0,0,0
150,0,1,0,0,0,0,0,0,9,0,9,0,7,0,0,0
151,0,0,0,1,0.062,0,7.151,0.724,0,0.143,6,0.143,3,0,1.298,2.055
152,1.322,2,6,0,2.612,2,13.06,34.62,11,5.717,8,5.717,14,0,4.367,6.414
153,5.986,2,0,0,0.349,0,1.599,67.44,6,0.281,9,0.281,8,0,3.623,4.12
154,0,0,0,1,0.653,0,1.187,3.908,8,0.729,6,0.729,7,0,0.777,2.609
155,0.016,2,0,0,1.57,1,2.083,68.08,5,0.805,12,0.805,8,0,3.794,3.763
156,0,0,0,0,1.371,0,6.118,60.42,6,0.006,8,0.006,6,0,5.818,7.334
157,0,0,0,1,0.062,0,7.151,0.724,0,0.143,6,0.143,3,0,1.298,2.055
158,2.62,2,0,0,2.048,0,4.326,67.64,1,0.641,8,0.641,9,0,1.15,4.39
159,0.139,0,0,0,2.961,0,24.48,34.47,5,10.3,10,10.3,17,0,1.801,1.806
160,0,2,0,0,2.872,0,30.64,28.03,2,0.375,8,0.375,9,0,3.935,7.013
161,0,0,0,1,0,0,0,0,4,0,6,0,4,0,0,0
162,0,1,0,0,1.804,0,42.82,4.56,1,4.028,1,4.028,2,0,1.701,6.518
163,0,0,0,3,0,0,0,0,0,0,2,0,37,0,0,0
164,0,1,0,0,1.804,0,42.82,4.56,1,4.028,1,4.028,2,0,1.701,6.518
165,2.711,0,0,0,3.3,0,23.42,39.38,1,3.75,4,3.75,9,0,0.967,2.956
166,0,0,0,0,0,0,0,0,2,0,5,0,42,0,0,0
167,0,0,0,0,3.343,0,25.17,34.59,12,2.385,9,2.385,1,0,2.836,5.059
168,0,2,0,0,0,0,0,0.183,4,0,7,0,7,0,0,0
169,0,0,0,4,4.642,5,6.796,49.33,0,5.277,3,5.277,20,0,2.843,5.808
170,0.916,0,0,0,5.384,0,22.67,18.12,4,4.946,8,4.946,2,0,4.516,7.951
171,0,8,0,15,1.548,3,0,72.19,13,0,21,0,40,0,0.056,0.653
172,0,2,0,0,0.135,0,13.24,5.636,0,3.317,13,3.317,11,0,0.684,8.049
173,11.34,0,0,0,1.475,0,14.36,34.75,2,11.7,7,11.7,6,0,1.513,5.35
174,0.273,0,0,3,1.356,0,22.1,44.23,6,7.348,13,7.348,10,0,5.863,3.908
175,0,0,0,0,0,0,0,0.183,0,0,1,0,8,0,0,0
176,0,2,0,49,2.942,1,35.05,46.82,9,3.44,31,3.44,13,0,2.484,2.43
177,0,3,0,0,0,0,0,0,3,0,8,0,8,0,0,0
178,0,3,0,27,2.168,0,28.44,40.99,2,11.04,51,11.04,23,0,1.797,4.057
179,5.204,0,0,1,4.386,0,21.54,51.78,4,3.405,8,3.405,6,0,0.302,1.808
180,0,6,0,14,0.897,12,0.056,86.7,10,0,20,0,33,0,2.117,1.977
181,0,1,0,75,0,0,0,0,1,0,26,0,18,0,0,0
182,0,0,0,38,1.009,0,0.401,27.2,2,0.007,27,0.007,9,0,0.08,3.303
183,0,1,0,0,1.914,0,2.647,68.12,1,2.294,3,2.294,7,0,2.12,3.676
184,0,0,0,0,0,0,0,0,1,0,4,0,10,0,0,0
185,0.139,0,0,0,2.961,0,24.48,34.47,5,10.3,10,10.3,17,0,1.801,1.806
186,6.532,0,0,0,3.453,0,40.4,5.872,0,11.11,6,11.11,4,0,1.187,2.844
187,6.373,0,0,0,0.427,0,14.1,33.41,1,0.133,9,0.133,13,0,2.606,3.639
188,0,1,0,0,3.065,0,9.78,64.37,6,3.023,14,3.023,10,0,6.329,0.631
189,0,2,0,25,5.984,1,30.68,35.5,8,2.781,34,2.781,26,0,2.633,8.259
190,0,0,0,0,0,0,0,0,0,0,6,0,32,0,0,0
191,0,0,0,27,3.068,90,1.818,70.78,5,0.352,10,0.352,15,0,5.34,6.43
192,0,0,0,1,0.747,0,14.76,36.87,4,0.572,8,0.572,7,0,4.461,7.424
193,0,1,0,90,2.258,12,7.114,63.42,13,1.478,50,1.478,18,0,4.2,3.041
194,8.606,0,0,0,4.016,0,35.4,11.47,1,11.3,4,11.3,4,0,0.774,2.18
195,2.131,0,0,0,2.116,0,35.34,33.62,18,12.46,12,12.46,8,0,2.039,2.714
196,0,1,0,0,3.065,0,9.78,64.37,6,3.023,14,3.023,10,0,6.329,0.631
197,0,0,5,1,1.134,2,18.82,59.33,3,0.382,8,0.382,7,0,3.796,3.479
198,0.026,2,0,0,1.126,1,46.7,19.99,1,4.434,17,4.434,14,0,1.004,2.658
199,0,1,0,0,2.824,0,4.904,70.45,0,0.005,5,0.005,9,0,2.564,2.996
200,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
201,2.119,0,0,0,3.439,0,8.924,47.29,0,5.915,6,5.915,3,0,1.003,1.212
202,0,2,0,93,0.195,0,16.8,4.768,0,2.005,54,2.005,22,0.167,0,6.235
203,0.447,0,1,1,2.257,6,17.04,47.71,2,3.195,19,3.195,16,0,4.167,3.648
204,0,1,0,40,0.699,1,3.621,50.12,15,0.395,30,0.395,19,0,3.621,6.65
205,1.3,0,0,0,2.348,0,26.31,32.34,7,9.962,12,9.962,15,0,0.481,4.449
206,0,5,0,7,0,0,0,0,0,0,12,0,33,0,0,0
207,0.883,0,0,0,2.084,0,10.12,49.2,2,3.959,7,3.959,12,0,2.425,4.323
208,0.266,2,0,55,1.151,0,11.42,51.98,8,3.523,14,3.523,20,0,6.07,4.213
209,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0
210,3.141,2,0,2,1.167,0,19.53,40.6,0,9.659,9,9.659,6,0,1.413,1.57
211,0,2,0,39,2.222,1,13.19,62.94,5,7.415,26,7.415,11,0,0.764,1.025
212,4.511,0,0,1,4.238,0,28.29,30.05,2,17.9,11,17.9,12,0,0.237,1.087
213,0,1,0,0,0.236,0,4.136,79.25,3,1.953,9,1.953,10,0,4.657,2.56
214,0.726,0,0,0,2.947,0,7.688,47.44,0,4.962,5,4.962,11,0,2.621,4.373
215,1.488,0,0,3,0.658,0,59.65,4.843,0,10.33,5,10.33,3,0,1.957,5.462
216,0,0,0,1,0,0,0,0.183,0,0,8,0,9,0,0,0
217,0,0,0,0,0,0,0,0,2,0,8,0,19,0,0,0
218,0,2,0,25,5.984,1,30.68,35.5,8,2.781,34,2.781,26,0,2.633,8.259
219,0,8,0,12,0,0,0,0.183,2,0,22,0,32,0,0,0
220,0,2,0,0,2.303,0,18.73,58.47,5,2.136,7,2.136,7,0,4.119,3.348
221,0,0,0,25,1.669,2,1.88,45.21,9,1.885,19,1.885,11,0,1.451,7.196
222,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
223,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
224,0,0,0,1,1.729,4,5.914,62.46,3,1.01,12,1.01,11,0,9.843,3.427
225,3.398,0,0,0,1.982,0,28.4,21,0,11.72,2,11.72,9,0,2.534,2.595
226,0.082,0,0,1,2.689,0,10.48,63.78,3,2.519,6,2.519,4,0,3.682,3.326
227,1.268,3,0,0,0.035,0,11.17,3.949,1,1.929,5,1.929,4,0,0.758,0.371
228,0.59,3,0,1,0.805,1,20.4,38.76,5,5.728,8,5.728,17,0,4.073,3.154
229,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0
230,0,1,0,75,0,0,0,0,1,0,26,0,18,0,0,0
231,12.46,0,0,0,1.425,0,32.99,13.47,2,11.95,8,11.95,10,0,1.293,3.319
232,0,1,0,41,0,0,0,0,6,0,35,0,21,0,0,0
233,2.527,0,0,0,2.767,1,4.593,55.65,5,8.013,8,8.013,14,0,0.729,3.867
234,0,0,0,0,0,2,0,0,1,0,3,0,1,0,0,0
235,2.488,2,0,1,1.976,0,3.655,64.78,4,0.6,12,0.6,11,0,3.777,3.871
236,0,2,0,33,0,0,0,0,3,0,18,0,13,0,0,0
237,0,2,0,25,5.984,1,30.68,35.5,8,2.781,34,2.781,26,0,2.633,8.259
238,2.076,0,0,0,2.777,0,13.19,50.11,3,9.018,13,9.018,14,0,2.509,2.741
239,0,2,0,0,1.21,0,8.226,60.58,4,1.337,14,1.337,10,0,1.503,4.338
240,0,2,0,2,0.178,0,17.79,11.6,5,0.722,12,0.722,9,0,4.88,10.38
241,0,0,0,1,0,0,0,0.183,0,0,8,0,9,0,0,0
242,0.59,3,0,1,0.805,1,20.4,38.76,5,5.728,8,5.728,17,0,4.073,3.154
243,0,0,0,1,0,2,0,0.183,1,0,3,0,7,0,0,0
244,4.87,0,0,0,1.039,0,19.4,50.23,4,7.728,6,7.728,9,0,1.25,2.779
245,0,3,0,27,2.168,0,28.44,40.99,2,11.04,51,11.04,23,0,1.797,4.057
246,1.645,2,0,0,0.288,2,14.18,64.47,7,0.223,14,0.223,9,0,4.977,2.905
247,0.467,2,0,9,2.153,1,48.73,29.06,11,11.96,23,11.96,21,0,1.112,1.764
248,2.718,3,0,0,5.163,0,18.71,25.35,2,4.495,8,4.495,8,0,1.797,1.905
249,0,1,0,0,0.908,0,0.091,66.22,9,0.239,8,0.239,5,0,0.262,1.271
250,4.317,0,0,1,2.13,0,6.986,56.52,5,5.555,10,5.555,11,0,2.38,2.423
251,0.005,2,0,0,1.496,0,16.4,52.46,0,2.041,6,2.041,6,0,2.957,2.488
252,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
253,0,2,0,43,0,1,0,0,4,0,34,0,21,0,0,0
254,0.038,3,0,45,1.451,0,44.24,17.87,3,5.868,54,5.868,20,0,3.61,2.974
255,0,2,0,54,1.221,1,48.75,31.4,5,8.633,14,8.633,18,0,3.772,3.682
256,0,0,0,1,2.43,0,26.88,33.73,0,4.856,5,4.856,19,0,1.314,3.385
257,11.17,0,0,0,2.708,0,35,2.154,0,5.324,4,5.324,10,0,1.928,1.965
258,0.273,0,0,3,1.356,0,22.1,44.23,6,7.348,13,7.348,10,0,5.863,3.908
259,1.322,2,6,0,2.612,2,13.06,34.62,11,5.717,8,5.717,14,0,4.367,6.414
260,0.052,2,1,6,4.276,0,4.531,50.56,14,0.803,25,0.803,29,0,2.918,8.765
261,0,2,0,3,0,6,0,26.9,25,0,18,0,27,0,0,0
262,0,0,0,0,0,0,0,0,1,0,5,0,8,0,0,0
263,0,2,0,1,2.908,0,35.12,36.39,1,1.091,16,1.091,15,0,0.476,4.507
264,0,0,0,0,0,0,0,0,1,0,5,0,8,0,0,0
265,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
266,0,2,0,4,3.028,0,34.01,3.41,2,0.78,16,0.78,36,0,0,0.03
267,0,0,0,0,2.094,0,39.09,4.467,1,4.552,7,4.552,9,0,0.572,6.103
268,0.399,0,0,1,2.536,4,2.212,72.55,4,2.125,5,2.125,15,0,1.86,3.306
269,0,0,0,1,0,0,0,0,0,0,4,0,11,0,0,0
270,5.986,2,0,0,0.349,0,1.599,67.44,6,0.281,9,0.281,8,0,3.623,4.12
271,0.903,0,0,1,2.765,0,15.82,44.1,1,6.862,8,6.862,4,0,4.472,6.154
272,0.903,0,0,1,2.765,0,15.82,44.1,1,6.862,8,6.862,4,0,4.472,6.154
273,0,0,0,1,0,0,0,0.183,0,0,8,0,9,0,0,0
274,0,1,0,0,3.065,0,9.78,64.37,6,3.023,14,3.023,10,0,6.329,0.631
275,0,1,1,0,1.886,0,3.031,55.92,1,0.175,6,0.175,15,0,1.21,8.555
