	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
60	42.358242	-71.06506	20 Mount Vernon St #403 Boston 02108	2108	1800.0		1.0		30/11/2016
61	42.358242	-71.06506	20 Mount Vernon St #4C Boston 02108	2108	1800.0		1.0		30/11/2016
62	42.356266	-71.070145	71 Beacon St #E Boston 02108	2108	5200.0	2	2.0		30/11/2016
63	42.252857	-71.11705	21 Beacon St #5HH Boston 02108	2108	3475.0	2	2.0		30/11/2016
64	42.35814	-71.0659	34 Mount Vernon St #9B Boston 02108	2108	2025.0		1.0		30/11/2016
65	42.357105	-71.071106	20 Lime St #41 Boston 02108	2108	3500.0	2	1.5	900	30/11/2016
66	42.35761	-71.0698	Beacon Hill Boston 02108	2108	2900.0	2	1.0		30/11/2016
67	42.303974	-71.07125	Dorchester Boston 02108	2108	2050.0	1	1.0	570	30/11/2016
68	42.356773	-71.06997	Beacon Hill Boston 02108	2108	3850.0	2	1.0	797	30/11/2016
69	42.3574	-71.064964	Beacon Hill Boston 02108	2108	3475.0	2	2.0		30/11/2016
70	42.358242	-71.06506	Beacon Hill Boston 02108	2108	1800.0		1.0		30/11/2016
71	42.356266	-71.070145	Beacon Hill Boston 02108	2108	5200.0	2	2.0	1500	30/11/2016
72	42.356266	-71.070145	Beacon Hill Boston 02108	2108	5200.0	2	2.0		30/11/2016
73	42.358154	-71.06831	Beacon Hill Boston 02108	2108	2600.0	2	1.5		30/11/2016
74	42.35851	-71.062584	144 Bowdoin St #63 Boston 02108	2108	2000.0		1.0		30/11/2016
75	42.35851	-71.062584	144 Bowdoin St #64 Boston 02108	2108	2000.0		1.0		30/11/2016
76	42.357964	-71.05945	43 School St #1 Boston 02108	2108	2300.0	2	1.0		30/11/2016
77	42.358242	-71.06506	Beacon Hill Boston 02108	2108	1850.0		1.0		30/11/2016
78	42.357246	-71.06	45 Province #PH1A Boston 02108	2108	35000.0	3	4.0	2837	30/11/2016
79	42.35684	-71.06867	19 Branch St #2 Boston 02108	2108	3695.0	2	2.0	1400	30/11/2016
80	42.35809	-71.0658	32 Mount Vernon St #1G Boston 02108	2108	2200.0		1.0		30/11/2016
81	42.35807	-71.069046	2 Louisburg Sq Boston 02108	2108	3000.0	2	1.5		30/11/2016
82	42.303974	-71.07125	Dorchester Boston 02108	2108	2200.0	1	1.0	768	30/11/2016
83	42.303974	-71.07125	Dorchester Boston 02108	2108	2400.0	1	1.0	570	30/11/2016
84	42.35851	-71.062584	Beacon Hill Boston 02108	2108	2050.0		1.0		30/11/2016
85	42.35824	-71.06534	24 Mount Vernon St Boston 02108	2108	2300.0	1	1.0		30/11/2016
86	42.35803	-71.06001	58 Tremont St #2 Boston 02108	2108	2700.0	3	1.0		30/11/2016
87	42.3581	-71.069336	93 Mount Vernon St Boston 02108	2108	3200.0	2	2.0	900	30/11/2016
88	42.252857	-71.11705	21 Beacon St #662 Boston 02108	2108	2970.0	1	1.0	700	30/11/2016
89	42.357105	-71.071106	20 Lime St #2 Boston 02108	2108	1925.0		1.0	450	30/11/2016
90	42.355816	-71.06178	40 Winter St #304 Boston 02108	2108	6000.0	4	2.0		30/11/2016
91	42.35824	-71.06534	24 Mount Vernon St #300 Boston 02108	2108	2250.0	1	1.0	526	30/11/2016
92	42.357246	-71.06	45 Province St #2303 Boston 02108	2108	5500.0	2	2.0	1317	30/11/2016
93	42.358257	-71.064705	12 Mount Vernon St #1C Boston 02108	2108	3800.0	2	1.0		30/11/2016
94	42.301266	-71.07714	247 Washington St #1204 Boston 02108	2108	3675.0	2	2.0	1000	30/11/2016
95	42.35824	-71.06534	24 Mount Vernon St #4 Boston 02108	2108	2300.0	1	1.0	650	30/11/2016
96	42.3579	-71.0638	36 Furnished Charles Boston 02108	2108	2950.0		1.0	600	30/11/2016
97	42.358536	-71.06259	Beacon Hill Boston 02108	2108	1995.0		1.0		30/11/2016
98	42.358242	-71.06506	Beacon Hill Boston 02108	2108	2300.0	1	1.0		30/11/2016
99	42.357105	-71.071106	Beacon Hill Boston 02108	2108	1950.0		1.0	450	30/11/2016
100	42.35824	-71.06534	Beacon Hill Boston 02108	2108	2300.0	1	1.0		30/11/2016
101	42.35851	-71.062584	Beacon Hill Boston 02108	2108	2000.0		1.0		30/11/2016
102	42.356724	-71.06812	Beacon Hill Boston 02108	2108	5850.0	2	2.0	1400	30/11/2016
103	42.303974	-71.07125	Dorchester Boston 02108	2108	2100.0	1	1.0		30/11/2016
104	42.303974	-71.07125	Dorchester Boston 02108	2108	2250.0	1	1.0		30/11/2016
105	42.35548	-71.06084	Downtown Boston Boston 02108	2108	2850.0	1	1.0		30/11/2016
106	42.355816	-71.06178	40 Winter St #402 Boston 02108	2108	4700.0	3	2.0		30/11/2016
107	42.35851	-71.062584	Beacon Hill Boston 02108	2108	2100.0		1.0		30/11/2016
108	42.355778	-71.0724	93 Beacon St #3 Boston 02108	2108	2000.0		1.0	500	30/11/2016
109	42.355778	-71.0724	93 Beacon St Boston 02108	2108	3300.0	2	1.5	1100	30/11/2016
110	42.35793	-71.06789	74 Mount Vernon St #MM2 Boston 02108	2108	2990.0	1	1.0	730	30/11/2016
111	42.357758	-71.06894	96 Mount Vernon #5 Boston 02108	2108	7000.0	4	3.5	9999	30/11/2016
112	42.35851	-71.062584	144 Bowdoin St #MM36 Boston 02108	2108	1850.0		1.0		30/11/2016
113	42.35851	-71.062584	144 Bowdoin St #MM22 Boston 02108	2108	2050.0		1.0		30/11/2016
114	42.35851	-71.062584	144 Bowdoin St #MM24 Boston 02108	2108	1800.0		1.0		30/11/2016
