	bathrooms	last_sold_price	zestimate_amount	prices	property_size	zip	zestimate_valuation_range_high	long	tax_year	zestimate_value_change	latitude	status	zestimate_percentile	bedrooms	zestimate_last_updated	zillow_id	address	lat	last_sold_date	tax_value	zillow	year_built	zestimate_valuationRange_low	graph_data_link	home_size	longitude	home_detail_link	home_type	property	map_this_home_link
184	3.0	100000	456524	-1	4356	02131	502176	-71.1132426	2015	21114	42.281719	Auction	0	4	11/12/2016	59146961	822 Canterbury St, Boston, MA	42.2817283	09/15/1995	254600.0	0.0	1950	378915	http://www.zillow.com/homedetails/822-Canterbury-St-Boston-MA-02131/59146961_zpid/#charts-and-data	1666	-71.113263	http://www.zillow.com/homedetails/822-Canterbury-St-Boston-MA-02131/59146961_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59146961_zpid/
185			690458	299,900		02121	724981	-71.091354			42.31294	Coming Soon	0	0	11/12/2016	2096609979	81 Ruthven St # 1, Dorchester, MA	42.3130359			0.0		649031			-71.09079	http://www.zillow.com/homedetails/81-Ruthven-St-1-Dorchester-MA-02121/2096609979_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096609979_zpid/
186	1.0		458855	399,000	5662	02132	486386	-71.163887	2014	-1838	42.272448	House For Sale	0	4	11/12/2016	59159472	63 Baker St, Boston, MA	42.272445		324100.0	0.0	1930	417558	http://www.zillow.com/homedetails/63-Baker-St-Boston-MA-02132/59159472_zpid/#charts-and-data	1347	-71.163886	http://www.zillow.com/homedetails/63-Baker-St-Boston-MA-02132/59159472_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59159472_zpid/
187	1.0		327968	309,000		02128	347646	-71.0339767			42.311912	Condo For Sale	0	3	11/12/2016	2096566578	56-3 Seaver St # 3, Boston, MA	42.365808			0.0	1920	311570		975	-71.093208	http://www.zillow.com/homedetails/56-3-Seaver-St-3-Boston-MA-02121/2096566578_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096566578_zpid/
188	6.0		10870525	11,900,000		02115	11414051	-71.0855584			42.35165	Condo For Sale	0	4	11/12/2016	2096483650	401 Beacon St # 2/3, Boston, MA	42.3517359			0.0	2016	1195758		5750	-71.08554	http://www.zillow.com/homedetails/401-Beacon-St-2-3-Boston-MA-02115/2096483650_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096483650_zpid/
189	1.0	409000	596527	585,000		02116	632319	-71.0746841	2014	9475	42.346074	Condo For Sale	0	1	11/12/2016	59164894	150 Chandler St APT 6, Boston, MA	42.3458216	11/24/2008	358900.0	0.0	1899	566701	http://www.zillow.com/homedetails/150-Chandler-St-APT-6-Boston-MA-02116/59164894_zpid/#charts-and-data	600	-71.074061	http://www.zillow.com/homedetails/150-Chandler-St-APT-6-Boston-MA-02116/59164894_zpid/	Condominium	0.0	http://www.zillow.com/homes/59164894_zpid/
190	1.0	319000	362471	-1	5662	02136	380595	-71.125989	2014	2683	42.264238	Foreclosed	0	3	11/12/2016	59126241	6 Magee St, Boston, MA	42.264238	07/29/2005	222100.0	0.0	1942	344347	http://www.zillow.com/homedetails/6-Magee-St-Boston-MA-02136/59126241_zpid/#charts-and-data	907	-71.125989	http://www.zillow.com/homedetails/6-Magee-St-Boston-MA-02136/59126241_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59126241_zpid/
191	2.0	525000	737122	800,000	982	02215	773978	-71.0930895	2014	9455	42.348769	Condo For Sale	0	2	11/12/2016	59178148	464 Commonwealth Ave APT 55, Boston, MA	42.3485852	12/02/2013	441000.0	0.0	1916	685523	http://www.zillow.com/homedetails/464-Commonwealth-Ave-APT-55-Boston-MA-02215/59178148_zpid/#charts-and-data	982	-71.093212	http://www.zillow.com/homedetails/464-Commonwealth-Ave-APT-55-Boston-MA-02215/59178148_zpid/	Condominium	0.0	http://www.zillow.com/homes/59178148_zpid/
192	1.0	307500	411484	390,000	523	02127	440288	-71.035957	2015	16986	42.337128	Condo For Sale	0	1	11/12/2016	67096125	683 E 2nd St UNIT 2, South Boston, MA	42.337126	03/12/2014	261700.0	0.0	1890	374450	http://www.zillow.com/homedetails/683-E-2nd-St-UNIT-2-South-Boston-MA-02127/67096125_zpid/#charts-and-data	532	-71.035957	http://www.zillow.com/homedetails/683-E-2nd-St-UNIT-2-South-Boston-MA-02127/67096125_zpid/	Condominium	0.0	http://www.zillow.com/homes/67096125_zpid/
193	2.0	247000	592059	515,000	776	02215	651265	-71.0974212	2014	-65448	42.344108	Condo For Sale	0	2	11/12/2016	59179598	82 Jersey St UNIT B2, Boston, MA	42.3440912	05/07/2010	309600.0	0.0	1920	544694	http://www.zillow.com/homedetails/82-Jersey-St-UNIT-B2-Boston-MA-02215/59179598_zpid/#charts-and-data	800	-71.09732	http://www.zillow.com/homedetails/82-Jersey-St-UNIT-B2-Boston-MA-02215/59179598_zpid/	Condominium	0.0	http://www.zillow.com/homes/59179598_zpid/
194	1.0	290000	438237	419,000	6098	02131	464531	-71.1315135	2015	12880	42.271877	House For Sale	0	3	11/12/2016	59146575	550 Poplar St, Boston, MA	42.2718733	02/26/2010	295600.0	0.0	1942	411943	http://www.zillow.com/homedetails/550-Poplar-St-Boston-MA-02131/59146575_zpid/#charts-and-data	1304	-71.131548	http://www.zillow.com/homedetails/550-Poplar-St-Boston-MA-02131/59146575_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59146575_zpid/
195	3.0	218000	462501	400,000	3920	02124	541126	-71.0765427	2014	-35508	42.294537	House For Sale	0	7	11/12/2016	59106001	586 Park St, Dorchester Center, MA	42.2945706	11/16/2000	249600.0	0.0	1910	383876	http://www.zillow.com/homedetails/586-Park-St-Dorchester-Center-MA-02124/59106001_zpid/#charts-and-data	3007	-71.07652	http://www.zillow.com/homedetails/586-Park-St-Dorchester-Center-MA-02124/59106001_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59106001_zpid/
196				320,000		02115		-71.0860598			42.351534	Lot/Land For Sale	0	2	12/31/1969	2106032314	411 Beacon St, Boston, MA	42.3517538			0.0	1900				-71.085955	http://www.zillow.com/homedetails/411-Beacon-St-Boston-MA-02115/2106032314_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/2106032314_zpid/
197	1.0		465939	449,000		02127	493895	-71.0369923		25655	42.333381	Condo For Sale	0	1	11/12/2016	2131055054	1 Beckler Ave APT 3, Boston, MA	42.3333827			0.0	1890	442642		593	-71.036979	http://www.zillow.com/homedetails/1-Beckler-Ave-APT-3-Boston-MA-02127/2131055054_zpid/	Condominium	0.0	http://www.zillow.com/homes/2131055054_zpid/
198	1.0		354299	349,000		02119	372014	-71.095954			42.325637	Condo For Sale	0	1	11/12/2016	2096649845	17 Beech Glen St # 17, Boston, MA	42.325636			0.0	1999	336584		525	-71.095954	http://www.zillow.com/homedetails/17-Beech-Glen-St-17-Boston-MA-02119/2096649845_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096649845_zpid/
199	25.0		617990	674,900		02128	648889	-71.0302562			42.366092	Townhouse For Sale	0	3	11/12/2016	2096500491	5 Ardee St # 5, Boston, MA	42.366188			0.0	1999	580911		1836	-71.030326	http://www.zillow.com/homedetails/5-Ardee-St-5-Boston-MA-02128/2096500491_zpid/	Townhouse	0.0	http://www.zillow.com/homes/2096500491_zpid/
200	3.0	1725000	2750578	2,690,000	2178	02108	2888107	-71.071984	2014	-14974	42.356597	Condo For Sale	0	2	11/12/2016	59172853	107 Chestnut St APT 2, Boston, MA	42.356597	07/26/2013	1322800.0	0.0	1900	2613049	http://www.zillow.com/homedetails/107-Chestnut-St-APT-2-Boston-MA-02108/59172853_zpid/#charts-and-data	2040	-71.071984	http://www.zillow.com/homedetails/107-Chestnut-St-APT-2-Boston-MA-02108/59172853_zpid/	Condominium	0.0	http://www.zillow.com/homes/59172853_zpid/
201	3.0		645233	629,000	6969	02131	748470	-71.1341644			42.275072	House For Sale	0	3	11/12/2016	2096562314	44 Winton St, Boston, MA	42.274543			0.0	2016	516186		2000	-71.133469	http://www.zillow.com/homedetails/44-Winton-St-Boston-MA-02131/2096562314_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2096562314_zpid/
202	1.0	280000	694669	689,000		02215	729402	-71.0980333	2014	70487	42.341585	Condo For Sale	0	3	11/12/2016	59168207	131 Park Dr UNIT G2, Boston, MA	42.3416995	10/31/2005	272300.0	0.0	1910	639095	http://www.zillow.com/homedetails/131-Park-Dr-UNIT-G2-Boston-MA-02215/59168207_zpid/#charts-and-data	812	-71.097823	http://www.zillow.com/homedetails/131-Park-Dr-UNIT-G2-Boston-MA-02215/59168207_zpid/	Condominium	0.0	http://www.zillow.com/homes/59168207_zpid/
203	2.0	152401	243312	267,047		02127	255478	-71.0400287	2015	-101440	42.323645	Condo For Sale	0	3	11/12/2016	59185103	37 Circuit St UNIT 1, Roxbury, MA	42.3368779	02/26/2007	170900.0	0.0	1989	223847	http://www.zillow.com/homedetails/37-Circuit-St-UNIT-1-Roxbury-MA-02119/59185103_zpid/#charts-and-data	1097	-71.085987	http://www.zillow.com/homedetails/37-Circuit-St-UNIT-1-Roxbury-MA-02119/59185103_zpid/	Condominium	0.0	http://www.zillow.com/homes/59185103_zpid/
204	2.0	975000	1582479	1,650,000		02118	1661603	-71.0720737	2015	-36140	42.340937	Condo For Sale	0	2	11/12/2016	59182437	49 Union Park # 3, Boston, MA	42.3434004	06/30/2009	919000.0	0.0	1850	1503355	http://www.zillow.com/homedetails/49-Union-Park-3-Boston-MA-02118/59182437_zpid/#charts-and-data	1500	-71.069082	http://www.zillow.com/homedetails/49-Union-Park-3-Boston-MA-02118/59182437_zpid/	Condominium	0.0	http://www.zillow.com/homes/59182437_zpid/
205	2.0		404339	366,295	3049	02121	428599	-71.0760934	2014	2394	42.31084	House For Sale	0	3	11/12/2016	81856431	5 Coleus Park, Dorchester, MA	42.3100642		271300.0	0.0	2006	380079	http://www.zillow.com/homedetails/5-Coleus-Park-Dorchester-MA-02121/81856431_zpid/#charts-and-data	1546	-71.075343	http://www.zillow.com/homedetails/5-Coleus-Park-Dorchester-MA-02121/81856431_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/81856431_zpid/
206	1.0	805000	1150655	1,088,000	1321	02110	1208188	-71.0499222	2014	-34750	42.361741	Condo For Sale	0	1	11/12/2016	59174579	59 Commercial Wharf APT 4, Boston, MA	42.3620899	05/27/2005	875038.0	0.0	1850	1081616	http://www.zillow.com/homedetails/59-Commercial-Wharf-APT-4-Boston-MA-02110/59174579_zpid/#charts-and-data	1321	-71.049569	http://www.zillow.com/homedetails/59-Commercial-Wharf-APT-4-Boston-MA-02110/59174579_zpid/	Condominium	0.0	http://www.zillow.com/homes/59174579_zpid/
207	1.0			399,500	2	02135		-71.1485867			42.354372	Condo For Sale	0	2	12/31/1969	2097046465	35 Glencoe St APT 31, Brighton, MA	42.3542931			0.0	1965			805	-71.148837	http://www.zillow.com/homedetails/35-Glencoe-St-APT-31-Brighton-MA-02135/2097046465_zpid/	Apartment	0.0	http://www.zillow.com/homes/2097046465_zpid/
208	1.0	343000	609127	599,000		02115	737044	-71.0885025	2014	60315	42.345768	Condo For Sale	0	2	11/12/2016	81857201	12 Stoneholm St APT 301, Boston, MA	42.3458507	01/05/2007	392200.0	0.0	2006	414206	http://www.zillow.com/homedetails/12-Stoneholm-St-APT-301-Boston-MA-02115/81857201_zpid/#charts-and-data	735	-71.08819	http://www.zillow.com/homedetails/12-Stoneholm-St-APT-301-Boston-MA-02115/81857201_zpid/	Condominium	0.0	http://www.zillow.com/homes/81857201_zpid/
209	1.0	213000	373030	309,999	905	02132	410333	-71.165733	2014	1226	42.286972	Condo For Sale	0	1	11/12/2016	90139250	266 Vermont St UNIT 1, West Roxbury, MA	42.286972	05/19/2009	202000.0	0.0	1880	331997	http://www.zillow.com/homedetails/266-Vermont-St-UNIT-1-West-Roxbury-MA-02132/90139250_zpid/#charts-and-data	905	-71.165733	http://www.zillow.com/homedetails/266-Vermont-St-UNIT-1-West-Roxbury-MA-02132/90139250_zpid/	Condominium	0.0	http://www.zillow.com/homes/90139250_zpid/
210	1.0	204500	288834	309,900		02125	317717	-71.0517714	2014	38347	42.312216	Condo For Sale	0	1	11/12/2016	59101889	400 Savin Hill Ave APT 27, Dorchester, MA	42.3124	07/25/2016	132500.0	0.0	1965	259951	http://www.zillow.com/homedetails/400-Savin-Hill-Ave-APT-27-Dorchester-MA-02125/59101889_zpid/#charts-and-data	665	-71.051977	http://www.zillow.com/homedetails/400-Savin-Hill-Ave-APT-27-Dorchester-MA-02125/59101889_zpid/	Condominium	0.0	http://www.zillow.com/homes/59101889_zpid/
211	1.0	570000		775,000	1742	02118		-71.0736529	2014		42.33943	Make Me Move®	0	2	12/31/1969	59184048	37 W Newton St APT 4, Boston, MA	42.3388775	06/06/2013	472400.0	0.0	1890		http://www.zillow.com/homedetails/37-W-Newton-St-APT-4-Boston-MA-02118/59184048_zpid/#charts-and-data	850	-71.074258	http://www.zillow.com/homedetails/37-W-Newton-St-APT-4-Boston-MA-02118/59184048_zpid/	MultiFamily5Plus	0.0	http://www.zillow.com/homes/59184048_zpid/
212	1.0		343345	250,000		02131	360512	-71.1184288			42.286348	Condo For Sale	0	0	11/12/2016	2096546435	416 Hyde Park Ave # ONE, Roslindale, MA	42.2862661			0.0	1950	322744		800	-71.118555	http://www.zillow.com/homedetails/416-Hyde-Park-Ave-ONE-Roslindale-MA-02131/2096546435_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096546435_zpid/
213	1.0	342000	537676	545,000	871	02129	564560	-71.0669599	2014	17671	42.379947	Condo For Sale	0	1	11/12/2016	59100425	68 Russell St UNIT 2, Boston, MA	42.3799172	06/06/2012	308900.0	0.0	1800	505415	http://www.zillow.com/homedetails/68-Russell-St-UNIT-2-Boston-MA-02129/59100425_zpid/#charts-and-data	785	-71.066997	http://www.zillow.com/homedetails/68-Russell-St-UNIT-2-Boston-MA-02129/59100425_zpid/	Condominium	0.0	http://www.zillow.com/homes/59100425_zpid/
214	2.0		578809	549,900	6534	02131	607749	-71.138743	2014	8826	42.284025	House For Sale	0	3	11/12/2016	59143928	33 Orange St, Boston, MA	42.284025		334100.0	0.0	1969	549869	http://www.zillow.com/homedetails/33-Orange-St-Boston-MA-02131/59143928_zpid/#charts-and-data	1484	-71.138745	http://www.zillow.com/homedetails/33-Orange-St-Boston-MA-02131/59143928_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59143928_zpid/
215	3.0		1030763	899,000	8207	02130	1144147	-71.125778	2014	-35996	42.307226	House For Sale	0	3	11/12/2016	59135083	135 Moss Hill Rd, Boston, MA	42.3072019		728400.0	0.0	1960	958610	http://www.zillow.com/homedetails/135-Moss-Hill-Rd-Boston-MA-02130/59135083_zpid/#charts-and-data	2954	-71.12577	http://www.zillow.com/homedetails/135-Moss-Hill-Rd-Boston-MA-02130/59135083_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59135083_zpid/
216	2.0	462900		629,000	1014	02129		-71.0523825	2014		42.374939	Apartment For Sale	0	2	12/31/1969	67095758	42 8th St APT 5310, Boston, MA	42.3750209	03/25/2005	398300.0	0.0	1899		http://www.zillow.com/homedetails/42-8th-St-APT-5310-Boston-MA-02129/67095758_zpid/#charts-and-data	1014	-71.053014	http://www.zillow.com/homedetails/42-8th-St-APT-5310-Boston-MA-02129/67095758_zpid/	MultiFamily5Plus	0.0	http://www.zillow.com/homes/67095758_zpid/
217	1.0		321467	309,000	9999	02136	337540	-71.131984			42.248683	Condo For Sale	0	3	11/12/2016	2115695004	1565 River St # 1, Boston, MA	42.248685			0.0	1910	298964		1200	-71.13198	http://www.zillow.com/homedetails/1565-River-St-1-Boston-MA-02136/2115695004_zpid/	Condominium	0.0	http://www.zillow.com/homes/2115695004_zpid/
218	2.0		1046249	965,000		02116	1161336	-71.075106	2014	-15417	42.344979	Condo For Sale	0	2	11/12/2016	59172435	130 Appleton St APT 3H, Boston, MA	42.344906		629100.0	0.0	1866	983474	http://www.zillow.com/homedetails/130-Appleton-St-APT-3H-Boston-MA-02116/59172435_zpid/#charts-and-data	1046	-71.075141	http://www.zillow.com/homedetails/130-Appleton-St-APT-3H-Boston-MA-02116/59172435_zpid/	Condominium	0.0	http://www.zillow.com/homes/59172435_zpid/
219	2.0		1037097	999,000		02114	1088952	-71.0641088			42.364303	Co-op For Sale	0	3	11/12/2016	2096553771	150 Staniford St APT 205, Boston, MA	42.3644346			0.0	1998	974871		1435	-71.064102	http://www.zillow.com/homedetails/150-Staniford-St-APT-205-Boston-MA-02114/2096553771_zpid/	Cooperative	0.0	http://www.zillow.com/homes/2096553771_zpid/
220	1.0	315000	410738	415,000		02127	439490	-71.0523379	2014	18813	42.333626	Condo For Sale	0	1	11/12/2016	87798161	183 W 8th St UNIT 2, South Boston, MA	42.333618	01/22/2015	233500.0	0.0	1900	377879	http://www.zillow.com/homedetails/183-W-8th-St-UNIT-2-South-Boston-MA-02127/87798161_zpid/#charts-and-data	582	-71.052338	http://www.zillow.com/homedetails/183-W-8th-St-UNIT-2-South-Boston-MA-02127/87798161_zpid/	Condominium	0.0	http://www.zillow.com/homes/87798161_zpid/
221				250,000	3920	02119		-71.0784233			42.327472	Lot/Land For Sale	0		12/31/1969	2096524067	20 Forest St, Boston, MA	42.3274611			0.0					-71.078414	http://www.zillow.com/homedetails/20-Forest-St-Boston-MA-02119/2096524067_zpid/	VacantResidentialLand	0.0	http://www.zillow.com/homes/2096524067_zpid/
222	1.0	385000	666570	699,900	708	02110	713230	-71.0528044	2014	14830	42.357677	Condo For Sale	0	1	11/12/2016	81857485	80 Broad St UNIT 608, Boston, MA	42.3577317	12/06/2011	450300.0	0.0	2006	633242	http://www.zillow.com/homedetails/80-Broad-St-UNIT-608-Boston-MA-02110/81857485_zpid/#charts-and-data	708	-71.052726	http://www.zillow.com/homedetails/80-Broad-St-UNIT-608-Boston-MA-02110/81857485_zpid/	Condominium	0.0	http://www.zillow.com/homes/81857485_zpid/
223	2.0		600025	619,000		02132	630026	-71.16779			42.28886	House For Sale	0	4	11/12/2016	2096484539	92 Lasell St, West Roxbury, MA	42.288487			0.0		552023		1823	-71.16712	http://www.zillow.com/homedetails/92-Lasell-St-West-Roxbury-MA-02132/2096484539_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2096484539_zpid/
224	2.0	360000	610932	580,000		02135	641479	-71.1410557	2014	37184	42.345499	Condo For Sale	0	4	11/12/2016	60112183	1518 Commonwealth Ave UNIT 3, Boston, MA	42.3455568	11/30/2012	312400.0	0.0	1930	574276	http://www.zillow.com/homedetails/1518-Commonwealth-Ave-UNIT-3-Boston-MA-02135/60112183_zpid/#charts-and-data	1100	-71.141314	http://www.zillow.com/homedetails/1518-Commonwealth-Ave-UNIT-3-Boston-MA-02135/60112183_zpid/	Condominium	0.0	http://www.zillow.com/homes/60112183_zpid/
225	2.0		882949	875,000	6969	02132	927096	-71.1597988	2014	80627	42.287884	House For Sale	0	4	11/12/2016	59155942	5 Houston St, Boston, MA	42.2878398		542600.0	0.0	1910	838802	http://www.zillow.com/homedetails/5-Houston-St-Boston-MA-02132/59155942_zpid/#charts-and-data	2358	-71.159748	http://www.zillow.com/homedetails/5-Houston-St-Boston-MA-02132/59155942_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59155942_zpid/
226	3.0	200000	681465	629,000	1312	02127	735982	-71.0316309	2014		42.334678	Condo For Sale	0	2	11/12/2016	2096664102	801 E 4th St # 801, Boston, MA	42.3348139	12/11/2003	445100.0	0.0	1920	633762	http://www.zillow.com/homedetails/801-E-4th-St-UNIT-801-South-Boston-MA-02127/81855120_zpid/#charts-and-data	1374	-71.031471	http://www.zillow.com/homedetails/801-E-4th-St-801-Boston-MA-02127/2096664102_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096664102_zpid/
227	2.0		615279	599,000		02130	738335	-71.106165			42.303352	Condo For Sale	0	2	11/12/2016	2096488028	74 Brookley Rd # 3, Boston, MA	42.303354			0.0	2016	498376		1293	-71.106163	http://www.zillow.com/homedetails/74-Brookley-Rd-3-Boston-MA-02130/2096488028_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096488028_zpid/
228	1.0		476320	465,000		02125	500136	-71.0560561			42.320541	Condo For Sale	0	2	11/12/2016	2096486647	40 Buttonwood St # 1, Boston, MA	42.3206699			0.0	1932	452504		980	-71.055905	http://www.zillow.com/homedetails/40-Buttonwood-St-1-Boston-MA-02125/2096486647_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096486647_zpid/
229	3.0	350000	595408	569,900	6098	02136	625178	-71.1408724	2014	18514	42.242651	House For Sale	0	4	11/12/2016	60113093	11 Sanford St, Boston, MA	42.2426134	12/17/2001	392800.0	0.0	2001	559684	http://www.zillow.com/homedetails/11-Sanford-St-Boston-MA-02136/60113093_zpid/#charts-and-data	2408	-71.140814	http://www.zillow.com/homedetails/11-Sanford-St-Boston-MA-02136/60113093_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/60113093_zpid/
230	1.0	250000	353791	385,000	530	02215	378556	-71.09511	2014	17210	42.342501	Condo For Sale	0	1	11/12/2016	59179717	67 Park Dr UNIT 1, Boston, MA	42.3425678	03/29/2013	245000.0	0.0	1910	332564	http://www.zillow.com/homedetails/67-Park-Dr-UNIT-1-Boston-MA-02215/59179717_zpid/#charts-and-data	530	-71.095222	http://www.zillow.com/homedetails/67-Park-Dr-UNIT-1-Boston-MA-02215/59179717_zpid/	Condominium	0.0	http://www.zillow.com/homes/59179717_zpid/
231	2.0	475000	694517	689,000	4356	02132	736188	-71.1509743	2014	20238	42.281635	House For Sale	0	4	11/12/2016	59156619	10 Gilmore Ter, Boston, MA	42.281635	09/28/2007	456800.0	0.0	1920	659791	http://www.zillow.com/homedetails/10-Gilmore-Ter-Boston-MA-02132/59156619_zpid/#charts-and-data	1980	-71.150961	http://www.zillow.com/homedetails/10-Gilmore-Ter-Boston-MA-02132/59156619_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59156619_zpid/
232	3.0		2209172	2,250,000		02118	2341722	-71.0713204			42.341941	Condo For Sale	0	2	11/12/2016	2096558180	327 Shawmut Ave # 2, Boston, MA	42.3419437			0.0	1900	2054530		1630	-71.071319	http://www.zillow.com/homedetails/327-Shawmut-Ave-2-Boston-MA-02118/2096558180_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096558180_zpid/
233	1.0	171500	471829	449,000	1178	02134	495420	-71.1385287	2014		42.351385	Condo For Sale	0	3	11/12/2016	2096688337	9 High Rock Way # 3, Boston, MA	42.3514374	09/16/1987	345300.0	0.0	1899	443519	http://www.zillow.com/homedetails/9-High-Rock-Way-UNIT-3-Boston-MA-02134/59086280_zpid/#charts-and-data	1178	-71.138665	http://www.zillow.com/homedetails/9-High-Rock-Way-3-Boston-MA-02134/2096688337_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096688337_zpid/
234	1.0		398234	364,000		02132	418146	-71.1445898	2014	8815	42.27354	Condo For Sale	0	2	11/12/2016	67396346	20 Lagrange St UNIT 1, Boston, MA	42.273562		232300.0	0.0	1925	362393	http://www.zillow.com/homedetails/20-Lagrange-St-UNIT-1-Boston-MA-02132/67396346_zpid/#charts-and-data	1041	-71.144584	http://www.zillow.com/homedetails/20-Lagrange-St-UNIT-1-Boston-MA-02132/67396346_zpid/	Condominium	0.0	http://www.zillow.com/homes/67396346_zpid/
235	3.0	460000	951651	1,339,000	3484	02125	1037300	-71.0556327	2015	126333	42.316912	Apartment For Sale	0	11	11/12/2016	59110706	20 Sudan St, Dorchester, MA	42.3169099	04/10/2012	538500.0	0.0	1905	818420	http://www.zillow.com/homedetails/20-Sudan-St-Dorchester-MA-02125/59110706_zpid/#charts-and-data	3732	-71.055627	http://www.zillow.com/homedetails/20-Sudan-St-Dorchester-MA-02125/59110706_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59110706_zpid/
236	2.0	935000	1423435	1,395,000		02115	1508841	-71.0809838	2014	82358	42.343601	Condo For Sale	0	2	11/12/2016	71546657	17 Durham St APT 5, Boston, MA	42.3436496	07/15/2005	823500.0	0.0	1880	1323795	http://www.zillow.com/homedetails/17-Durham-St-APT-5-Boston-MA-02115/71546657_zpid/#charts-and-data	1217	-71.080955	http://www.zillow.com/homedetails/17-Durham-St-APT-5-Boston-MA-02115/71546657_zpid/	Condominium	0.0	http://www.zillow.com/homes/71546657_zpid/
237	3.0	1225000	1314060	1,325,000		02116	1379763	-71.074464	2014	34968	42.344624	Condo For Sale	0	2	11/12/2016	87793618	63 Dartmouth St UNIT 1, Boston, MA	42.344752	05/16/2016	770400.0	0.0	1910	1248357	http://www.zillow.com/homedetails/63-Dartmouth-St-UNIT-1-Boston-MA-02116/87793618_zpid/#charts-and-data	1250	-71.074558	http://www.zillow.com/homedetails/63-Dartmouth-St-UNIT-1-Boston-MA-02116/87793618_zpid/	Condominium	0.0	http://www.zillow.com/homes/87793618_zpid/
238	2.0	170000	544601	489,000	5227	02121	577277	-71.0740115	2014	-6045	42.302617	Apartment For Sale	0	9	11/12/2016	59108071	6 Mallon Rd, Dorchester, MA	42.3026544	07/02/2012	286500.0	0.0	1900	490141	http://www.zillow.com/homedetails/6-Mallon-Rd-Dorchester-MA-02121/59108071_zpid/#charts-and-data	3654	-71.073934	http://www.zillow.com/homedetails/6-Mallon-Rd-Dorchester-MA-02121/59108071_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59108071_zpid/
239	1.0	362000	494260	436,000	951	02130	518973	-71.103312	2014	18014	42.319334	Condo For Sale	0	2	11/12/2016	81859501	103 Lamartine St UNIT 2, Boston, MA	42.319334	04/14/2014	299200.0	0.0	2006	469547	http://www.zillow.com/homedetails/103-Lamartine-St-UNIT-2-Boston-MA-02130/81859501_zpid/#charts-and-data	951	-71.103312	http://www.zillow.com/homedetails/103-Lamartine-St-UNIT-2-Boston-MA-02130/81859501_zpid/	Condominium	0.0	http://www.zillow.com/homes/81859501_zpid/
240	2.0		568398	539,000		02125	613870	-71.052714			42.315799	Condo For Sale	0	2	11/12/2016	2103668002	84 Romsey St # 1, Dorchester, MA	42.31579			0.0	1905	511558		1134	-71.052696	http://www.zillow.com/homedetails/84-Romsey-St-1-Dorchester-MA-02125/2103668002_zpid/	Condominium	0.0	http://www.zillow.com/homes/2103668002_zpid/
241	2.0	454447	604042	615,000	9999	02129	634244	-71.0523825	2015	-24926	42.374795	Condo For Sale	0	1	11/12/2016	67096109	42 8th St APT 3315, Boston, MA	42.3750209	07/27/2005	435000.0	0.0	1899	573840	http://www.zillow.com/homedetails/42-8th-St-APT-3315-Boston-MA-02129/67096109_zpid/#charts-and-data	938	-71.0529	http://www.zillow.com/homedetails/42-8th-St-APT-3315-Boston-MA-02129/67096109_zpid/	Condominium	0.0	http://www.zillow.com/homes/67096109_zpid/
242	1.0		512298	485,000		02125	543036	-71.0560561			42.320541	Condo For Sale	0	2	11/12/2016	2096486646	40 Buttonwood St # 2, Boston, MA	42.3206699			0.0	1932	476437		969	-71.055905	http://www.zillow.com/homedetails/40-Buttonwood-St-2-Boston-MA-02125/2096486646_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096486646_zpid/
243	1.0	154000	203819	195,000		02124	214010	-71.0639347	2015	10493	42.271949	Condo For Sale	0	1	11/12/2016	59103000	22 Branchfield St APT A4, Dorchester Center, MA	42.2717137	08/11/2015	121600.0	0.0	1970	187513	http://www.zillow.com/homedetails/22-Branchfield-St-APT-A4-Dorchester-Center-MA-02124/59103000_zpid/#charts-and-data	562	-71.063934	http://www.zillow.com/homedetails/22-Branchfield-St-APT-A4-Dorchester-Center-MA-02124/59103000_zpid/	Condominium	0.0	http://www.zillow.com/homes/59103000_zpid/
