	bathrooms	last_sold_price	zestimate_amount	prices	property_size	zip	zestimate_valuation_range_high	long	tax_year	zestimate_value_change	latitude	status	zestimate_percentile	bedrooms	zestimate_last_updated	zillow_id	address	lat	last_sold_date	tax_value	zillow	year_built	zestimate_valuationRange_low	graph_data_link	home_size	longitude	home_detail_link	home_type	property	map_this_home_link
14		3360981	695455	599,000	7157	02121	785864	-71.086611	2015	-9334	42.289875	House For Sale	0		11/12/2016	90139732	100 Maple St, Boston, MA	42.3075847	02/19/1992	426577.0	0.0	1925	598091	http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/#charts-and-data	16857	-71.156478	http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/90139732_zpid/
15	2.0		817363	669,000	1916	02130	858231	-71.1166613			42.30924	Condo For Sale	0	3	11/12/2016	2097055956	801 Centre St # 3C, Boston, MA	42.3092487			0.0	1899	776495		1916	-71.1166	http://www.zillow.com/homedetails/801-Centre-St-3C-Boston-MA-02130/2097055956_zpid/	Condominium	0.0	http://www.zillow.com/homes/2097055956_zpid/
16	2.0	1088000	1678483	1,540,000	1364	02116	1896686	-71.0703915	2014	-21974	42.345039	Condo For Sale	0	1	11/12/2016	67710271	505 Tremont St UNIT 417, Boston, MA	42.3450221	05/30/2008	1132500.0	0.0	2004	1594559	http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/#charts-and-data	1364	-71.070299	http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/	Condominium	0.0	http://www.zillow.com/homes/67710271_zpid/
17	1.0	261000	381960	389,000		02122	401058	-71.0540671	2014	6502	42.28495	Condo For Sale	0	2	11/12/2016	81854555	16 Chelmsford St UNIT 2, Dorchester, MA	42.284953	07/11/2006	212600.0	0.0	1905	362862	http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/#charts-and-data	1061	-71.054061	http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/	Condominium	0.0	http://www.zillow.com/homes/81854555_zpid/
18	1.0	310000	399402	399,500	3484	02136	463306	-71.126028	2014	-12511	42.250944	Condo For Sale	0	1	11/12/2016	81855097	1391 Hyde Park Ave STE G, Boston, MA	42.2511409	03/17/2014	450000.0	0.0	1950	343486	http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/#charts-and-data	1570	-71.125871	http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/	Condominium	0.0	http://www.zillow.com/homes/81855097_zpid/
19	1.0	945000	1175611	1,300,000		02108	1493026	-71.05945			42.355785	Condo For Sale	0	1	11/12/2016	2097180167	1 Franklin St # 1601, Boston, MA	42.35631	09/15/2016		0.0	2016	846440		923	-71.059526	http://www.zillow.com/homedetails/1-Franklin-St-1601-Boston-MA-02110/2097180167_zpid/	Condominium	0.0	http://www.zillow.com/homes/2097180167_zpid/
20	2.0		472901	479,000		02122	501275	-71.0522963			42.295223	Condo For Sale	0	3	11/12/2016	2096881071	29 Houghton St # 1, Boston, MA	42.295264			0.0	1900	439798		1400	-71.052345	http://www.zillow.com/homedetails/29-Houghton-St-1-Boston-MA-02122/2096881071_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096881071_zpid/
21	3.0		899088	875,000		02127	1123860	-71.0559853		-17891	42.331474	Condo For Sale	0	3	11/12/2016	2107330626	28 Woodward St # 1, Boston, MA	42.3314431			0.0	2016	674316		1700	-71.055931	http://www.zillow.com/homedetails/28-Woodward-St-1-Boston-MA-02127/2107330626_zpid/	Condominium	0.0	http://www.zillow.com/homes/2107330626_zpid/
22	2.0	250000	621969	549,500	5530	02131	653067	-71.1230212	2014	-8375	42.291848	Condo For Sale	0	3	11/12/2016	59144888	12 Mosgrove Ave, Boston, MA	42.2919334	02/25/2015	382100.0	0.0	1901	590871	http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/#charts-and-data	1950	-71.123093	http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/	Condominium	0.0	http://www.zillow.com/homes/59144888_zpid/
23	2.0	474680	787351	769,000		02122	826719	-71.0446874	2014	7402	42.299416	Condo For Sale	0	2	11/12/2016	56605009	235 Victory Rd UNIT 235, Quincy, MA	42.2994295	11/24/1999	630200.0	0.0	1999	747983	http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/#charts-and-data	2286	-71.044724	http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/	Condominium	0.0	http://www.zillow.com/homes/56605009_zpid/
24	1.0		420929	549,000		02134	446185	-71.131332		16295	42.34912	For Sale by Owner	0	2	11/12/2016	2097576158	29 Brainerd Rd, Boston, MA	42.3486087			0.0	1904	378836		850	-71.13047	http://www.zillow.com/homedetails/29-Brainerd-Rd-Boston-MA-02134/2097576158_zpid/	Condominium	0.0	http://www.zillow.com/homes/2097576158_zpid/
25	2.5			749,000		02130		-71.1157648			42.307212	Townhouse For Sale	0	3	12/31/1969	2096375498	5 Atwood Sq # 5, Boston, MA	42.3072151			0.0	2016			1603	-71.115613	http://www.zillow.com/homedetails/5-Atwood-Sq-5-Boston-MA-02130/2096375498_zpid/	Townhouse	0.0	http://www.zillow.com/homes/2096375498_zpid/
26	2.0		530517	425,000	5662	02132	562348	-71.165045	2014	425	42.280911	House For Sale	0	4	11/12/2016	59158025	60 Sanborn Ave, Boston, MA	42.280911		368900.0	0.0	1925	503991	http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/#charts-and-data	1692	-71.165045	http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59158025_zpid/
27	2.0			1,913,600		02215		-71.1018938			42.343872	Condo For Sale	0	2	12/31/1969	2096368520	188 Brookline Ave # 20-5, Boston, MA	42.3440043			0.0				1296	-71.101933	http://www.zillow.com/homedetails/188-Brookline-Ave-20-5-Boston-MA-02215/2096368520_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096368520_zpid/
28	1.0			299,000		02128		-71.0369686			42.375465	Condo For Sale	0	2	12/31/1969	2096368919	51 Bennington St # 1B, Boston, MA	42.3754691			0.0	2015			850	-71.036964	http://www.zillow.com/homedetails/51-Bennington-St-1B-Boston-MA-02128/2096368919_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096368919_zpid/
29	2.0			424,900		02128		-71.0369686			42.375465	Condo For Sale	0	4	12/31/1969	2096368818	51 Bennington St # 2, Boston, MA	42.3754691			0.0	2016			1225	-71.036964	http://www.zillow.com/homedetails/51-Bennington-St-2-Boston-MA-02128/2096368818_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096368818_zpid/
30	2.0			1,195,000		02127		-71.0542787			42.338717	New Construction	0	2	12/31/1969	2096367727	45 W 3rd St # 410, Boston, MA	42.342376			0.0				1250	-71.048806	http://www.zillow.com/homedetails/45-W-3rd-St-410-Boston-MA-02127/2096367727_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096367727_zpid/
31	1.0	525000	858577	825,000		02111	901506	-71.0592399	2014	40290	42.352627	Condo For Sale	0	1	11/12/2016	71546197	88 Kingston St UNIT 1F, Boston, MA	42.3526558	08/21/2013	532300.0	0.0	1899	815648	http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/#charts-and-data	1051	-71.059339	http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/	Condominium	0.0	http://www.zillow.com/homes/71546197_zpid/
32	1.0			735,000		02127		-71.0542787			42.338717	New Construction	0	1	12/31/1969	2096367728	45 W 3rd St # 401, Boston, MA	42.342376			0.0				755	-71.048806	http://www.zillow.com/homedetails/45-W-3rd-St-401-Boston-MA-02127/2096367728_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096367728_zpid/
33	1.0			348,000		02128		-71.0396313			42.375031	Condo For Sale	0	0	12/31/1969	2096369134	225 Border St, Boston, MA	42.375902			0.0	2016			450	-71.040138	http://www.zillow.com/homedetails/225-Border-St-Boston-MA-02128/2096369134_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096369134_zpid/
34	4.0			799,000		02122		-71.0486505			42.288834	Condo For Sale	0	3	12/31/1969	2096363796	47 Coffey St # 0, Boston, MA	42.288965			0.0				1800	-71.049526	http://www.zillow.com/homedetails/47-Coffey-St-0-Boston-MA-02122/2096363796_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096363796_zpid/
35	4.0			549,900		02119		-71.068565			42.322406	Condo For Sale	0	3	12/31/1969	2096376271	31 Robey St # 31, Boston, MA	42.322304			0.0	2016			1700	-71.06837	http://www.zillow.com/homedetails/31-Robey-St-31-Boston-MA-02119/2096376271_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096376271_zpid/
36	2.0			590,000		02128		-71.035687			42.374401	Condo For Sale	0	2	12/31/1969	2096375497	186-188 Paris St # 8, Boston, MA	42.374401			0.0	2016			991	-71.03569	http://www.zillow.com/homedetails/186-188-Paris-St-8-Boston-MA-02128/2096375497_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096375497_zpid/
37	2.0	141500	213837	226,970		02119	241636	-71.0919591	2014	-143659	42.319999	Condo For Sale	0	2	11/12/2016	81856655	18 Brinton St UNIT 2, Roxbury, MA	42.320036	05/30/2007	189600.0	0.0	2006	186038	http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/#charts-and-data	1307	-71.092124	http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/	Condominium	0.0	http://www.zillow.com/homes/81856655_zpid/
38	2.0	277000	1051110	999,000		02116	1145710	-71.0768204	2015	-61029	42.352174	Condo For Sale	0	1	11/12/2016	59176559	118 Commonwealth Ave UNIT 4, Boston, MA	42.3519146	09/01/1987	755200.0	0.0	1885	967021	http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/#charts-and-data	1010	-71.076304	http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/	Condominium	0.0	http://www.zillow.com/homes/59176559_zpid/
39	1.0			730,000		02127		-71.0542787			42.338717	New Construction	0	1	12/31/1969	2096367726	45 W 3rd St # 418, Boston, MA	42.342376			0.0				774	-71.048806	http://www.zillow.com/homedetails/45-W-3rd-St-418-Boston-MA-02127/2096367726_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096367726_zpid/
40	4.0			549,900		02119		-71.068565			42.322303	Condo For Sale	0	3	12/31/1969	2096376272	29 Robey St # 29, Boston, MA	42.322304			0.0	2016			1700	-71.068565	http://www.zillow.com/homedetails/29-Robey-St-29-Boston-MA-02119/2096376272_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096376272_zpid/
41	2.0	400000	632267	629,000	1012	02127	663880	-71.039051	2015	5758	42.331554	Condo For Sale	0	2	11/12/2016	81857241	560 E 8th St UNIT 1, South Boston, MA	42.3315538	09/11/2009	437500.0	0.0	1890	594331	http://www.zillow.com/homedetails/560-E-8th-St-UNIT-1-South-Boston-MA-02127/81857241_zpid/#charts-and-data	1012	-71.039063	http://www.zillow.com/homedetails/560-E-8th-St-UNIT-1-South-Boston-MA-02127/81857241_zpid/	Condominium	0.0	http://www.zillow.com/homes/81857241_zpid/
42	3.0	1800000	2756883	2,600,000	2036	02111	3005002	-71.0625369	2014	-64380	42.353277	Condo For Sale	0	3	11/12/2016	61319763	1 Avery St APT 23D, Boston, MA	42.3532598	10/07/2009	1709657.0	0.0	2000	2619039	http://www.zillow.com/homedetails/1-Avery-St-APT-23D-Boston-MA-02111/61319763_zpid/#charts-and-data	2036	-71.062724	http://www.zillow.com/homedetails/1-Avery-St-APT-23D-Boston-MA-02111/61319763_zpid/	Condominium	0.0	http://www.zillow.com/homes/61319763_zpid/
43	4.0	3999000	5170819	4,499,000		02108	5429360	-71.0599532	2014	35175	42.357031	Condo For Sale	0	3	11/12/2016	102987538	45 Province St APT 2502, Boston, MA	42.3572816	08/16/2013	3148923.0	0.0	2009	4912278	http://www.zillow.com/homedetails/45-Province-St-APT-2502-Boston-MA-02108/102987538_zpid/#charts-and-data	2872	-71.059969	http://www.zillow.com/homedetails/45-Province-St-APT-2502-Boston-MA-02108/102987538_zpid/	Condominium	0.0	http://www.zillow.com/homes/102987538_zpid/
44	1.0	379000	837740	839,000		02110	896382	-71.0504859	2014	-26746	42.35792	Condo For Sale	0	1	11/12/2016	59175134	65 E India Row APT 26G, Boston, MA	42.3576699	11/29/2007	603977.0	0.0	1970	762343	http://www.zillow.com/homedetails/65-E-India-Row-APT-26G-Boston-MA-02110/59175134_zpid/#charts-and-data	974	-71.050708	http://www.zillow.com/homedetails/65-E-India-Row-APT-26G-Boston-MA-02110/59175134_zpid/	Condominium	0.0	http://www.zillow.com/homes/59175134_zpid/
45	3.0	240000	304110	299,000		02128	322357	-71.0387459	2015	14645	42.286727	Condo For Sale	0	3	11/12/2016	59141173	13 Marion St APT F, Boston, MA	42.3801793	03/01/2004	215600.0	0.0	1987	285863	http://www.zillow.com/homedetails/13-Marion-St-APT-F-Boston-MA-02131/59141173_zpid/#charts-and-data	1729	-71.12046	http://www.zillow.com/homedetails/13-Marion-St-APT-F-Boston-MA-02131/59141173_zpid/	Condominium	0.0	http://www.zillow.com/homes/59141173_zpid/
46	2.0		524448	499,900	4791	02131	550670	-71.139435		7645	42.289455	Condo For Sale	0	3	11/12/2016	2122703759	57 Bradfield Ave, Boston, MA	42.2894549			0.0	1910	498226		1887	-71.139434	http://www.zillow.com/homedetails/57-Bradfield-Ave-Boston-MA-02131/2122703759_zpid/	Condominium	0.0	http://www.zillow.com/homes/2122703759_zpid/
47	3.0	355000	537277	1,200,000	2613	02128	607123	-71.030238	2014	75566	42.380672	Apartment For Sale	0	6	11/12/2016	59122072	266 Lexington St, Boston, MA	42.380671	06/24/2016	233600.0	0.0	1930	429822	http://www.zillow.com/homedetails/266-Lexington-St-Boston-MA-02128/59122072_zpid/#charts-and-data	2310	-71.030238	http://www.zillow.com/homedetails/266-Lexington-St-Boston-MA-02128/59122072_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/59122072_zpid/
48	2.0	380000	507384	499,900	4791	02131	547975	-71.139435	2014	64788	42.289455	Condo For Sale	0	3	11/12/2016	81859724	57 Bradfield Ave UNIT 2, Boston, MA	42.2894549	12/14/2006	288700.0	0.0	1910	471867	http://www.zillow.com/homedetails/57-Bradfield-Ave-UNIT-2-Boston-MA-02131/81859724_zpid/#charts-and-data	1887	-71.139434	http://www.zillow.com/homedetails/57-Bradfield-Ave-UNIT-2-Boston-MA-02131/81859724_zpid/	Condominium	0.0	http://www.zillow.com/homes/81859724_zpid/
49				4,900,000	1742	02116		-71.081757			42.352287	Apartment For Sale	0	0	12/31/1969	2096359832	237 Marlborough St, Boston, MA	42.352286			0.0	1899			5640	-71.081756	http://www.zillow.com/homedetails/237-Marlborough-St-Boston-MA-02116/2096359832_zpid/	MultiFamily2To4	0.0	http://www.zillow.com/homes/2096359832_zpid/
50	3.0	473000	820242	899,000	6534	02121	861254	-71.0808349	2014	217695	42.314193	Condo For Sale	0	10	11/12/2016	59111377	35 Holborn St # 35R, Dorchester, MA	42.314193	02/01/2016	337700.0	0.0	1890	771027	http://www.zillow.com/homedetails/35-Holborn-St-35R-Dorchester-MA-02121/59111377_zpid/#charts-and-data	3500	-71.080835	http://www.zillow.com/homedetails/35-Holborn-St-35R-Dorchester-MA-02121/59111377_zpid/	Condominium	0.0	http://www.zillow.com/homes/59111377_zpid/
51	2.0	1557500	2552374	2,500,000		02110	2986278	-71.0502418	2014	95196	42.356587	Condo For Sale	0	2	11/12/2016	59163949	10 Rowes Wharf APT 903, Boston, MA	42.3570124	11/29/2012	1537346.0	0.0	1987	2373708	http://www.zillow.com/homedetails/10-Rowes-Wharf-APT-903-Boston-MA-02110/59163949_zpid/#charts-and-data	1739	-71.050719	http://www.zillow.com/homedetails/10-Rowes-Wharf-APT-903-Boston-MA-02110/59163949_zpid/	Condominium	0.0	http://www.zillow.com/homes/59163949_zpid/
