PricePerSQM,Longitude,Latitude
32.1029045386,-71.06478,42.35855
40.9028771945,-71.070305,42.356533
40.6636790822,-71.06151,42.3554
58.4907082027,-71.06176,42.356464
54.5371695927,-71.06176,42.356464
57.4075469396,-71.06176,42.356464
54.7317714467,-71.06176,42.356464
37.2597059464,-71.07125,42.303974
60.2779242866,-71.06176,42.356464
67.0047718665,-71.07218,42.357235
30.7540430034,-71.071106,42.356564
32.2917451535,-71.067986,42.356823
53.8195752559,-71.071724,42.355957
43.4028832709,-71.070145,42.356266
35.6994167527,-71.065674,42.357292
37.2597059464,-71.07125,42.303974
26.909787628,-71.069046,42.35807
38.2716979598,-71.06925,42.358112
46.6436318885,-71.11705,42.252857
50.2316035722,-71.06176,42.356464
45.1389986017,-71.070145,42.356266
30.1389621433,-71.071106,42.356564
39.0690250006,-71.065384,42.357727
39.3605848887,-71.065384,42.357727
55.2235641756,-71.11705,42.252857
40.5229743103,-71.06974,42.358063
37.6031966854,-71.06136,42.35554
55.2547639294,-71.06997,42.356773
55.2547639294,-71.069984,42.35678
43.5449290707,-71.06825,42.35764
63.3013022279,-71.06,42.357246
34.9827239163,-71.067986,42.356823
24.7570046177,-71.097374,42.312897
55.2235641756,-71.11705,42.252857
38.2716979598,-71.069695,42.358036
41.8596696435,-71.071106,42.357105
38.7123260613,-71.07125,42.303974
51.9963274116,-71.06997,42.356773
37.3149055108,-71.070145,42.356266
132.794158192,-71.06,42.357246
28.4090472244,-71.06867,42.35684
30.834131657,-71.07125,42.303974
45.3217475839,-71.07125,42.303974
38.2716979598,-71.069336,42.3581
45.66975386,-71.11705,42.252857
46.0433628615,-71.06534,42.35824
44.9518092494,-71.06,42.357246
39.5573878131,-71.07714,42.301266
38.0876994119,-71.06534,42.35824
44.9777878924,-71.06812,42.356724
32.2917451535,-71.0724,42.355778
44.0878164425,-71.06789,42.35793
7.53549408524,-71.06894,42.357758
38.6328634263,-71.07125,42.303974
53.8195752559,-71.06974,42.358063
34.1711588926,-71.07125,42.303974
30.2357164359,-71.06974,42.358063
13.8717120858,-71.07004,42.356266
36.5697113918,-71.053185,42.361675
43.0556602047,-71.052605,42.36499
26.909787628,-71.053246,42.362057
38.5445233928,-71.05145,42.36513
38.0764341947,-71.052284,42.362694
33.2702828855,-71.05176,42.366074
27.0601216371,-71.05108,42.366226
40.7895728255,-71.05388,42.36752
51.035804122,-71.05193,42.36414
51.3355948595,-71.05435,42.357876
30.3379792874,-71.053185,42.362106
37.326479613,-71.05275,42.36304
28.0797783944,-71.05435,42.357876
39.9802559044,-71.05435,42.357876
38.4425537542,-71.05435,42.357876
28.0797783944,-71.05435,42.357876
35.2817215567,-71.05108,42.366226
41.6284007504,-71.05108,42.366226
32.0019474406,-71.05696,42.358784
44.9996448628,-71.05315,42.36277
36.2403170065,-71.05491,42.35933
42.1586672838,-71.05491,42.35933
47.4878605199,-71.054306,42.367596
39.467688521,-71.052345,42.364586
43.0556602047,-71.052345,42.364586
23.6806131126,-71.054535,42.367702
33.5834149597,-71.05181,42.366215
23.6806131126,-71.054535,42.367702
45.0127356686,-71.052605,42.36499
43.0556602047,-71.05233,42.36523
30.5921796192,-71.05108,42.366226
32.2917451535,-71.05241,42.36593
26.909787628,-71.05332,42.36195
26.8200883359,-71.05435,42.357876
46.6374135666,-71.05145,42.36513
27.710803028,-71.05108,42.366226
30.9462557721,-71.05108,42.366226
32.2917451535,-71.05264,42.362297
20.8102357656,-71.05108,42.366226
38.1398564806,-71.05272,42.362587
49.7831071117,-71.05231,42.365223
52.2818731057,-71.05444,42.35845
52.937287137,-71.05247,42.364944
46.9698111324,-71.05435,42.357876
32.8750114864,-71.05491,42.35933
44.6308672854,-71.05437,42.367577
33.9477320845,-71.0539,42.3617
43.6536554854,-71.05263,42.367416
30.9462557721,-71.05108,42.366226
18.6298529732,-71.05233,42.362644
38.1945372784,-71.05275,42.36304
58.3307677238,-71.05744,42.357758
58.8477016639,-71.05744,42.357758
53.1206197331,-71.05744,42.357758
36.7180279783,-71.05436,42.36754
27.678638703,-71.05398,42.36758
36.6951649472,-71.05108,42.366226
15.4562844991,-71.05145,42.36513
25.1158017861,-71.053276,42.361576
20.8102357656,-71.05135,42.36587
30.6357582226,-71.05189,42.36652
35.3494747165,-71.05181,42.366215
41.3996732738,-71.06261,42.27506
30.9462557721,-71.05108,42.366226
41.3996732738,-71.062386,42.275505
38.4425537542,-71.05298,42.361916
29.8997640311,-71.05187,42.365677
27.3339348935,-71.05315,42.36277
