longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
-71.156478,42.289875,,3360981,695455,"599,000",7157,2121,785864,-71.086611,2015,-9334,House For Sale,0,,11/12/2016,90139732,"100 Maple St, Boston, MA",42.3075847,02/19/1992,426577,0,1925,598091,http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/#charts-and-data,16857,http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/,SingleFamily,0,http://www.zillow.com/homes/90139732_zpid/
-71.1166,42.30924,2,,817363,"669,000",1916,2130,858231,-71.1166613,,,Condo For Sale,0,3,11/12/2016,2097055956,"801 Centre St # 3C, Boston, MA",42.3092487,,,0,1899,776495,,1916,http://www.zillow.com/homedetails/801-Centre-St-3C-Boston-MA-02130/2097055956_zpid/,Condominium,0,http://www.zillow.com/homes/2097055956_zpid/
-71.070299,42.345039,2,1088000,1678483,"1,540,000",1364,2116,1896686,-71.0703915,2014,-21974,Condo For Sale,0,1,11/12/2016,67710271,"505 Tremont St UNIT 417, Boston, MA",42.3450221,05/30/2008,1132500,0,2004,1594559,http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/#charts-and-data,1364,http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/,Condominium,0,http://www.zillow.com/homes/67710271_zpid/
-71.054061,42.28495,1,261000,381960,"389,000",,2122,401058,-71.0540671,2014,6502,Condo For Sale,0,2,11/12/2016,81854555,"16 Chelmsford St UNIT 2, Dorchester, MA",42.284953,07/11/2006,212600,0,1905,362862,http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/#charts-and-data,1061,http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/,Condominium,0,http://www.zillow.com/homes/81854555_zpid/
-71.125871,42.250944,1,310000,399402,"399,500",3484,2136,463306,-71.126028,2014,-12511,Condo For Sale,0,1,11/12/2016,81855097,"1391 Hyde Park Ave STE G, Boston, MA",42.2511409,03/17/2014,450000,0,1950,343486,http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/#charts-and-data,1570,http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/,Condominium,0,http://www.zillow.com/homes/81855097_zpid/
-71.059526,42.355785,1,945000,1175611,"1,300,000",,2108,1493026,-71.05945,,,Condo For Sale,0,1,11/12/2016,2097180167,"1 Franklin St # 1601, Boston, MA",42.35631,09/15/2016,,0,2016,846440,,923,http://www.zillow.com/homedetails/1-Franklin-St-1601-Boston-MA-02110/2097180167_zpid/,Condominium,0,http://www.zillow.com/homes/2097180167_zpid/
-71.052345,42.295223,2,,472901,"479,000",,2122,501275,-71.0522963,,,Condo For Sale,0,3,11/12/2016,2096881071,"29 Houghton St # 1, Boston, MA",42.295264,,,0,1900,439798,,1400,http://www.zillow.com/homedetails/29-Houghton-St-1-Boston-MA-02122/2096881071_zpid/,Condominium,0,http://www.zillow.com/homes/2096881071_zpid/
-71.055931,42.331474,3,,899088,"875,000",,2127,1123860,-71.0559853,,-17891,Condo For Sale,0,3,11/12/2016,2107330626,"28 Woodward St # 1, Boston, MA",42.3314431,,,0,2016,674316,,1700,http://www.zillow.com/homedetails/28-Woodward-St-1-Boston-MA-02127/2107330626_zpid/,Condominium,0,http://www.zillow.com/homes/2107330626_zpid/
-71.123093,42.291848,2,250000,621969,"549,500",5530,2131,653067,-71.1230212,2014,-8375,Condo For Sale,0,3,11/12/2016,59144888,"12 Mosgrove Ave, Boston, MA",42.2919334,02/25/2015,382100,0,1901,590871,http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/#charts-and-data,1950,http://www.zillow.com/homedetails/12-Mosgrove-Ave-Boston-MA-02131/59144888_zpid/,Condominium,0,http://www.zillow.com/homes/59144888_zpid/
-71.044724,42.299416,2,474680,787351,"769,000",,2122,826719,-71.0446874,2014,7402,Condo For Sale,0,2,11/12/2016,56605009,"235 Victory Rd UNIT 235, Quincy, MA",42.2994295,11/24/1999,630200,0,1999,747983,http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/#charts-and-data,2286,http://www.zillow.com/homedetails/235-Victory-Rd-UNIT-235-Quincy-MA-02171/56605009_zpid/,Condominium,0,http://www.zillow.com/homes/56605009_zpid/
-71.13047,42.34912,1,,420929,"549,000",,2134,446185,-71.131332,,16295,For Sale by Owner,0,2,11/12/2016,2097576158,"29 Brainerd Rd, Boston, MA",42.3486087,,,0,1904,378836,,850,http://www.zillow.com/homedetails/29-Brainerd-Rd-Boston-MA-02134/2097576158_zpid/,Condominium,0,http://www.zillow.com/homes/2097576158_zpid/
-71.115613,42.307212,2.5,,,"749,000",,2130,,-71.1157648,,,Townhouse For Sale,0,3,12/31/1969,2096375498,"5 Atwood Sq # 5, Boston, MA",42.3072151,,,0,2016,,,1603,http://www.zillow.com/homedetails/5-Atwood-Sq-5-Boston-MA-02130/2096375498_zpid/,Townhouse,0,http://www.zillow.com/homes/2096375498_zpid/
-71.165045,42.280911,2,,530517,"425,000",5662,2132,562348,-71.165045,2014,425,House For Sale,0,4,11/12/2016,59158025,"60 Sanborn Ave, Boston, MA",42.280911,,368900,0,1925,503991,http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/#charts-and-data,1692,http://www.zillow.com/homedetails/60-Sanborn-Ave-Boston-MA-02132/59158025_zpid/,SingleFamily,0,http://www.zillow.com/homes/59158025_zpid/
-71.101933,42.343872,2,,,"1,913,600",,2215,,-71.1018938,,,Condo For Sale,0,2,12/31/1969,2096368520,"188 Brookline Ave # 20-5, Boston, MA",42.3440043,,,0,,,,1296,http://www.zillow.com/homedetails/188-Brookline-Ave-20-5-Boston-MA-02215/2096368520_zpid/,Condominium,0,http://www.zillow.com/homes/2096368520_zpid/
-71.036964,42.375465,1,,,"299,000",,2128,,-71.0369686,,,Condo For Sale,0,2,12/31/1969,2096368919,"51 Bennington St # 1B, Boston, MA",42.3754691,,,0,2015,,,850,http://www.zillow.com/homedetails/51-Bennington-St-1B-Boston-MA-02128/2096368919_zpid/,Condominium,0,http://www.zillow.com/homes/2096368919_zpid/
-71.036964,42.375465,2,,,"424,900",,2128,,-71.0369686,,,Condo For Sale,0,4,12/31/1969,2096368818,"51 Bennington St # 2, Boston, MA",42.3754691,,,0,2016,,,1225,http://www.zillow.com/homedetails/51-Bennington-St-2-Boston-MA-02128/2096368818_zpid/,Condominium,0,http://www.zillow.com/homes/2096368818_zpid/
