pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
0,0,0,0,0,0,0,18681300,0,0,0,0,0,0,0,5,0,10,0,51.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.080952,42.296947,1,,443293,399000 ,5662,2121,469891,-71.080952,2015,1434,House For Sale,0,5,11/12/2016,59112097,"181 Glenway St, Dorchester, MA",42.296947,,242000,0,1890,407830,http://www.zillow.com/homedetails/181-Glenway-St-Dorchester-MA-02121/59112097_zpid/#charts-and-data,2684,http://www.zillow.com/homedetails/181-Glenway-St-Dorchester-MA-02121/59112097_zpid/,SingleFamily,0,http://www.zillow.com/homes/59112097_zpid/
0,0.007,29.69,4.235,0,0.227,4.437,9218020,0,0,0,0,0,0.033,0,2,0,16,0,0,4.437,7.556,0,6,4,6.726,0,0,0,1.648,0,0.203,0.011,0,0,0,0,21.34,-71.073797,42.287282,1,,386209,345000 ,,2124,544555,-71.073962,,,Condo For Sale,0,2,11/12/2016,2096896512,"53 Torrey St # 3, Boston, MA",42.287372,,,0,1920,254898,,1000,http://www.zillow.com/homedetails/53-Torrey-St-3-Boston-MA-02124/2096896512_zpid/,Condominium,0,http://www.zillow.com/homes/2096896512_zpid/
0,0.771,2.475,0.074,1.349,0,1.106,17565100,0.01,0,10.42,0,0,1.357,0.139,1,0,14,2,0,1.106,9.517,0,11,1,0,0,0,0.731,0,0,0.048,0,0,0,0,0,28.22,-71.079593,42.353794,3,1325000,2826169,2495000 ,2267,2116,2995739,-71.0795012,2014,-16709,Condo For Sale,0,3,11/12/2016,59170501,"242 Beacon St APT 6, Boston, MA",42.3536559,9/9/2009,1783000,0,1884,2628337,http://www.zillow.com/homedetails/242-Beacon-St-APT-6-Boston-MA-02116/59170501_zpid/#charts-and-data,2267,http://www.zillow.com/homedetails/242-Beacon-St-APT-6-Boston-MA-02116/59170501_zpid/,Condominium,0,http://www.zillow.com/homes/59170501_zpid/
0,0,0,0,0,0,0,11035500,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.158866,42.256671,2,,427574,399900 ,,2132,448953,-71.1587218,,,Condo For Sale,0,3,11/12/2016,2096807696,"23 Goethe St # 2, Boston, MA",42.2565786,,,0,1940,401920,,1370,http://www.zillow.com/homedetails/23-Goethe-St-2-Boston-MA-02132/2096807696_zpid/,Condominium,0,http://www.zillow.com/homes/2096807696_zpid/
0,0,0,0,0,0,0,13944200,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.156478,42.289875,,3360981,695455,599000 ,7157,2121,785864,-71.086611,2015,-9334,House For Sale,0,,11/12/2016,90139732,"100 Maple St, Boston, MA",42.3075847,2/19/1992,426577,0,1925,598091,http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/#charts-and-data,16857,http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/,SingleFamily,0,http://www.zillow.com/homes/90139732_zpid/
0,0,0,0,0,0,0,20981860,0,0,0,0,0,0,0,3,0,11,3,107.3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,-71.1166,42.30924,2,,817363,669000 ,1916,2130,858231,-71.1166613,,,Condo For Sale,0,3,11/12/2016,2097055956,"801 Centre St # 3C, Boston, MA",42.3092487,,,0,1899,776495,,1916,http://www.zillow.com/homedetails/801-Centre-St-3C-Boston-MA-02130/2097055956_zpid/,Condominium,0,http://www.zillow.com/homes/2097055956_zpid/
0,0,47.98,4.042,0,0,0.152,42758607,0,0,0,0,0,0,0,3,0,39,3,268,0.152,0,0.158,23,36,16.58,0,0,0,0.626,0,0.088,0,0,0,0,0,22.75,-71.070299,42.345039,2,1088000,1678483,1540000 ,1364,2116,1896686,-71.0703915,2014,-21974,Condo For Sale,0,1,11/12/2016,67710271,"505 Tremont St UNIT 417, Boston, MA",42.3450221,5/30/2008,1132500,0,2004,1594559,http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/#charts-and-data,1364,http://www.zillow.com/homedetails/505-Tremont-St-UNIT-417-Boston-MA-02116/67710271_zpid/,Condominium,0,http://www.zillow.com/homes/67710271_zpid/
0,0.314,32.83,4.054,0,1.582,4.447,18406000,0,0,0,0,0,0,5.281,2,0,4,1,0,4.447,1.547,0,6,0,3.358,0,0.058,0.074,2.774,0,0.161,0.076,0,0,0,0,16.68,-71.054061,42.28495,1,261000,381960,389000 ,,2122,401058,-71.0540671,2014,6502,Condo For Sale,0,2,11/12/2016,81854555,"16 Chelmsford St UNIT 2, Dorchester, MA",42.284953,7/11/2006,212600,0,1905,362862,http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/#charts-and-data,1061,http://www.zillow.com/homedetails/16-Chelmsford-St-UNIT-2-Dorchester-MA-02122/81854555_zpid/,Condominium,0,http://www.zillow.com/homes/81854555_zpid/
0,0,0,0,0,0,0,22655304,0,0,0,0,0,0,0,1,0,10,0,82.2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.125871,42.250944,1,310000,399402,399500 ,3484,2136,463306,-71.126028,2014,-12511,Condo For Sale,0,1,11/12/2016,81855097,"1391 Hyde Park Ave STE G, Boston, MA",42.2511409,3/17/2014,450000,0,1950,343486,http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/#charts-and-data,1570,http://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-G-Boston-MA-02136/81855097_zpid/,Condominium,0,http://www.zillow.com/homes/81855097_zpid/
0,0,89.47,3.715,0,0.743,0,269677724,0,0,0,0,0,0,0,30,0,32,11,532.1,0,0,0.085,46,22,1.04,0,0,0,1.331,0,0.327,0,0,0,0,0,0,-71.059526,42.355785,1,945000,1175611,1300000 ,,2108,1493026,-71.05945,,,Condo For Sale,0,1,11/12/2016,2097180167,"1 Franklin St # 1601, Boston, MA",42.35631,9/15/2016,,0,2016,846440,,923,http://www.zillow.com/homedetails/1-Franklin-St-1601-Boston-MA-02110/2097180167_zpid/,Condominium,0,http://www.zillow.com/homes/2097180167_zpid/
